Task,Local,ClusterC,ClusterM
TASK 1 ,3759,1517,1759
TASK 2 ,3639,1530,1697
TASK 3 ,3236,1371,1682
TASK 4 ,3319,1420,1589
TASK 5 ,4658,2253,1986
TASK 6 ,4214,1362,1544
TASK 7 ,3587,1333,1675
TASK 8 ,3729,1416,2000
TASK 9 ,4166,1582,1993
TASK 10,3792,1378,1534
TASK 11,3593,1514,1869
TASK 12,3015,1477,1552
TASK 13,4642,1435,1501
TASK 14,6229,2267,2473
TASK 15,4048,2086,1536
